compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,accuracy_bounded,2.0,P1,c1-a-016,0.6015475312382007,0.625,0.00017112000000000003,3515.3549043840617,2.5772357723577235
lingua2,accuracy_bounded,2.0,P2,c1-a-016,0.5881238859180036,0.625,0.000165324,3557.4017439573418,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-016,1.0,0.625,0.00017360400000000003,5760.235939264071,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-017,0.6040423065778036,0.625,0.00016836000000000002,3587.8017734485834,2.3870967741935485
lingua2,accuracy_bounded,2.0,P2,c1-a-017,0.5866675789089582,0.625,0.00016173600000000002,3627.315989692821,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-017,0.7538633461047255,0.625,0.00016242600000000002,4641.2726170977885,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-018,0.6204614604462475,0.625,0.000170568,3637.619368499645,2.353846153846154
lingua2,accuracy_bounded,2.0,P2,c1-a-018,0.6183062880324544,0.625,0.00016435800000000003,3761.9482351479955,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-018,0.9103448275862069,0.625,0.000168774,5393.868887306143,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-019,0.5864811912225706,0.625,0.00017084400000000002,3432.8462879736517,2.3181818181818183
lingua2,accuracy_bounded,2.0,P2,c1-a-019,0.5795547842961637,0.625,0.000163806,3538.055897196462,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-019,0.9103448275862069,0.625,0.000168912,5389.462131679258,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-020,0.6344474153297683,0.625,0.000171948,3689.763273371998,2.303703703703704
lingua2,accuracy_bounded,2.0,P2,c1-a-020,0.6086070791953145,0.625,0.00016504800000000002,3687.4550385058556,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-020,0.8285714285714286,0.625,0.00016753200000000002,4945.75023620221,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-021,0.5962121212121212,0.625,0.00017001600000000002,3506.800073005606,2.3230769230769233
lingua2,accuracy_bounded,2.0,P2,c1-a-021,0.5622835497835498,0.625,0.00016256400000000002,3458.844207718497,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-021,0.8142857142857143,0.625,0.00016601400000000003,4904.921960110076,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-022,0.5769480519480519,0.625,0.00016822200000000002,3429.682514463339,2.3253968253968256
lingua2,accuracy_bounded,2.0,P2,c1-a-022,0.5821428571428571,0.625,0.000162012,3593.208263232705,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-022,0.8392857142857142,0.625,0.00016435800000000003,5106.448814695445,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-023,0.6147565922920892,0.625,0.000170568,3604.1730705178534,2.353846153846154
lingua2,accuracy_bounded,2.0,P2,c1-a-023,0.6013945233265721,0.625,0.00016408200000000002,3665.207172795139,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-023,0.835344827586207,0.625,0.000167118,4998.532938320271,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-024,0.5972147950089127,0.625,0.00017098200000000002,3492.8518499544552,2.3257575757575757
lingua2,accuracy_bounded,2.0,P2,c1-a-024,0.5865005092946269,0.625,0.00016449600000000003,3565.4393377019915,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-024,0.9125,0.625,0.00016932600000000003,5389.012910007913,1.0
